Gamma_TP10,Beta_TP10,Gamma_AF8,Gamma_TP9,Delta_TP9,Delta_AF8,Delta_TP10,Beta_TP9,Beta_AF8,Beta_AF7,Gamma_AF7,Theta_TP9,Theta_TP10,Theta_AF7,Delta_AF7,Alpha_TP10,Alpha_AF7,Class
-0.036443936,0.705419484,-0.22025945,0.132979692,0.973703316,1.751249926,1.215577461,0.730730927,0.563664543,0.278520037,-0.305911873,0.642799608,0.902084401,0.15499364,0.153928657,0.80847367,0.380454354,2
0.002483495,0.633262692,-0.071209518,0.041592061,0.923074489,1.667378625,1.140045472,0.657941949,0.605553923,0.268447677,-0.23299636,0.584187831,0.798391163,0.173416758,0.084924939,0.961706932,0.555284634,2
0.034583615,0.564225098,0.043172398,-0.076629569,0.902892447,1.65092822,1.128268344,0.561534825,0.666914318,0.259379171,-0.253574045,0.605854736,0.715284168,0.149863525,0.288130607,0.937770864,0.618558987,2
0.071587402,0.490757837,0.172037323,-0.183548641,0.871987922,1.55902181,1.031589695,0.569519772,0.730711987,0.26110563,-0.233593028,0.415494629,0.506173911,0.137377007,0.384960204,0.934550917,0.617824628,2
0.031154403,0.572156134,0.249701279,-0.188812827,0.862852502,1.495516476,1.122250253,0.634817599,0.715611178,0.350702095,-0.22163365,0.296219236,0.676798176,0.150034399,0.665058429,0.940613376,0.56294555,2
-0.225444633,0.616237723,0.069556027,-0.01502699,1.221652497,1.014824727,1.170063894,0.617530937,0.319736507,0.389441218,0.027073336,1.08159544,1.027597622,0.120158111,0.710979013,0.977111437,0.336771067,2
-0.190248884,0.644937646,0.057538489,-0.014818878,1.284664011,0.977724726,1.255303859,0.616268882,0.312600929,0.398862895,0.018991418,1.020847264,0.971273864,0.130755837,0.748265339,0.983039101,0.388512341,2
-0.181861285,0.624189654,-0.019682883,-0.014818878,1.284664011,0.969344139,1.269478221,0.616268882,0.220466798,0.354504603,-0.010942529,1.020847264,0.953725107,0.036946607,0.746892702,0.907364098,0.299477116,2
-0.162006833,0.620930223,-0.05137607,-0.074896782,1.306830513,0.953005605,1.318977641,0.610824814,0.197559272,0.35091361,-0.010685062,0.90538782,0.890131108,0.009002767,0.738665705,0.774554375,0.229634379,2
-0.162006833,0.620930223,-0.05137607,-0.074896782,1.306830513,0.953005605,1.318977641,0.610824814,0.197559272,0.35091361,-0.010685062,0.90538782,0.890131108,0.009002767,0.738665705,0.774554375,0.229634379,2
-0.162006833,0.620930223,-0.05137607,-0.074896782,1.306830513,0.953005605,1.318977641,0.610824814,0.197559272,0.35091361,-0.010685062,0.90538782,0.890131108,0.009002767,0.738665705,0.774554375,0.229634379,2
0.043762976,0.585949762,-0.05137607,0.015046441,0.909584437,0.953005605,1.175871235,0.85143792,0.197559272,0.35091361,-0.010685062,0.720514937,0.399700004,0.009002767,0.738665705,1.019642505,0.229634379,2
0.012804719,0.620538767,-0.054085063,0.058925463,0.997887704,1.408837329,1.131923114,0.818111104,0.87586062,0.35091361,-0.010685062,0.710205215,0.439513087,0.009002767,0.738665705,1.043712396,0.229634379,2
0.03715045,0.545699298,0.038905123,-0.008235073,0.932025092,1.410258814,1.012864464,0.753491398,0.815880728,0.35091361,-0.010685062,0.595408726,0.380192726,0.009002767,0.738665705,1.06812418,0.229634379,2
0.053215273,0.523355766,0.195028624,0.007230529,0.9077698,1.627058798,0.827003665,0.651345586,0.81940043,0.104314275,0.108500779,0.6889257,0.551321451,1.042142456,1.544506851,1.120096523,0.901994777,2
0.039157491,0.468793606,0.13036553,-0.064743117,0.984207773,1.568929474,0.659344086,0.682618919,0.73852632,0.228338352,-0.082958755,0.893157155,0.624588685,1.168368268,1.608141682,1.20524702,0.940403098,2
0.066549006,0.555393786,0.10166157,-0.044695848,0.993438618,1.568074766,0.707955632,0.676324479,0.74357628,0.278117031,-0.119897806,0.88086697,0.724187955,1.091238346,1.637008518,1.208411799,0.954393201,2
0.002083267,0.721885109,-0.146170537,-0.039394246,1.144520023,1.173590289,0.710413446,0.772212548,0.554669216,0.35045535,-0.275217702,0.78246909,0.783212525,1.03709705,1.683700353,1.208101929,0.845300511,2
0.072709982,0.71357296,-0.068374709,-0.003895822,1.092315349,1.273832155,0.818973799,0.681743441,0.686223183,0.373979935,-0.241400476,0.502859858,0.677175676,0.853685517,1.668328726,1.136573888,0.6816262,2
0.096529402,0.764190984,-0.068374709,0.120490461,1.397729191,1.273832155,1.291995839,0.680193305,0.686223183,0.388832134,-0.283729129,0.658206858,0.706739623,0.806505497,1.654308338,1.145510039,0.660388898,2
0.146081346,0.655549881,-0.068374709,0.161512378,1.442849697,1.273832155,1.400176631,0.596145152,0.686223183,0.386308016,-0.256720836,0.753633567,0.53708226,0.675517237,1.588382742,0.696765021,0.584487843,2
0.212904479,0.748323184,-0.068374709,0.246416992,1.615620535,1.273832155,1.610826278,0.621454925,0.686223183,0.386308016,-0.256720836,0.839032773,0.712940634,0.675517237,1.588382742,0.581697273,0.584487843,2
0.116621197,0.907297313,-0.068374709,0.124053014,1.685770496,1.273832155,1.735108409,0.942383698,0.686223183,0.900147692,0.353103561,0.850092223,0.65561134,1.40987357,1.497086476,0.966562834,1.115184827,2
0.096997613,0.761684344,-0.197828502,0.103753265,1.528336398,1.440466569,1.584513234,0.752047679,0.364926705,0.88015853,0.253158133,0.787406508,0.529718127,1.392635658,1.466474448,0.949889919,1.137544878,2
0.135755362,0.736525251,-0.199564196,0.122008166,1.446624438,1.355762498,1.491413773,0.715993275,0.373136505,0.88015853,0.253158133,0.708733936,0.542999792,1.392635658,1.466474448,0.98571943,1.137544878,2
0.268462946,0.700775755,-0.071816863,0.025643753,1.429418736,0.675534374,1.34256425,0.719463406,0.098965678,0.352381978,-0.101094083,1.142179766,0.73632847,0.597945329,0.973234325,1.090654433,0.298036247,2
0.22055243,0.654551769,-0.072365635,-0.025459626,1.327575635,0.943169314,1.472799342,0.666798848,0.217848222,0.765802704,0.465387796,1.008588284,0.641339593,0.611853324,0.89207672,1.090654433,0.40205231,2
0.088878246,0.647965364,-0.154381506,0.025737866,1.264399188,0.909832028,1.492992506,0.777437622,0.246700492,0.761920377,0.462245014,0.785450873,0.563188722,0.50322255,0.860129567,1.06161183,0.603392634,2
0.113050825,0.630686848,-0.236285098,-0.07076154,1.127897807,0.921261791,1.340782428,0.724305778,0.313783662,0.726737095,0.441729868,0.563470404,0.537823061,0.373310398,0.778393566,1.002968836,0.643377443,2
