TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,emotion
33:13.2,0.418729,0.77391875,-0.04110207,1.1291838,0.28814062,0.1475559,-0.12009558,0.74545145,0.8130492,0.1346955,-0.053534824,1.0357823,1.0601393,0.23840283,0.48522606,0.5350267,1.0581324,0.25328365,0.25860822,0.60154486,773.6264,789.34064,757.50916,780.4762,652.3443,80.000015,96,-0.165771484,0.200927734,0.968505859,2.96081543,-3.902893066,-2.183227539,1,1,1,1,1,35,sad
33:14.3,-0.10032189,0.55815995,-0.04110207,-0.061533757,-0.037685275,0.29953718,-0.12009558,-0.02546335,0.66061723,0.6041466,-0.053534824,0.3294538,0.81899375,0.48561794,0.48522606,0.72629005,0.69749415,0.12782319,0.25860822,-0.007760486,809.4872,783.69965,776.8498,824.3956,853.00366,60.00004,100,-0.155395508,0.192932129,0.966003418,3.544006348,-3.76083374,-1.577606201,1,1,1,1,1,35,sad
33:15.3,-0.14554802,0.85880136,-0.04110207,-0.16912693,-0.18835957,0.52208143,-0.12009558,-0.038032413,0.58926326,0.6634302,-0.053534824,0.477242,0.3224503,0.4734851,0.48522606,0.6198087,0.005404552,0.032119602,0.25860822,0.088718235,791.3553,795.78754,781.28204,767.1795,703.91943,58.00004,100,-0.151489258,0.19140625,0.967102051,2.91595459,-4.568328857,-2.011260986,1,1,1,1,1,35,sad
33:16.3,0.4391617,1.0069839,0.27972218,0.13071844,0.3766969,0.55537874,0.056140475,0.2329233,0.7842793,0.8463925,0.5157965,0.8724946,0.36916634,0.5298895,0.34866315,0.51707155,0.45467854,0.24791752,0.5142612,0.29770574,841.7216,813.5165,798.60803,751.4652,839.304,78.00002,100,-0.151916504,0.197814941,0.972229004,3.237457275,-2.975769043,-2.639312744,1,1,1,1,1,35,sad
33:17.3,0.67570513,1.2904904,0.24852443,0.48180977,0.41755107,0.91186875,0.056922454,0.48737118,0.7857183,0.8463925,0.36473846,0.81899554,0.7087895,0.67757714,0.5125268,0.48776573,0.89665985,0.31658465,0.6666192,0.45003864,737.3626,800.6227,779.67035,777.25275,665.2381,72.00003,100,-0.158691406,0.200195313,0.965942383,4.052429199,-3.641204834,-0.949554443,1,1,1,1,1,35,sad
33:18.3,0.35243863,0.26084504,0.19781046,0.2255907,0.3604285,-0.36760303,0.23393925,0.1275555,0.51139754,0.008027931,0.73593724,0.44745827,0.4877073,0.4941741,0.14973754,0.34840116,0.31424102,0.4832877,0.1026726,0.15927431,871.9414,754.68866,800.6227,826.0073,927.9487,52.000046,100,-0.155639648,0.201293945,0.970581055,2.998199463,-4.224395752,-1.809387207,1,1,1,1,1,35,sad
33:19.4,0.108722195,0.5579951,1.0986526,0.12455001,-0.1435985,-0.70791435,0.57260823,0.09103181,0.31502333,-0.1260004,0.7692202,0.38974738,0.49331653,0.7128342,0.37798637,0.37108412,0.43255234,0.86964417,0.17365411,0.20672627,772.4176,790.54944,794.17584,805.4579,461.75824,30.000036,100,-0.14440918,0.208679199,0.967895508,2.968292236,-4.515991211,-2.295379639,1,1,1,1,1,35,sad
33:20.4,0.41279954,0.6122115,0.93426955,0.43352926,-0.07966526,-0.6687292,0.24688976,0.3576778,0.49565554,-0.18277131,0.47493893,0.7907081,0.22565249,0.75836635,0.261646,0.54801977,0.2666382,0.9297028,0.1455909,0.26042777,860.2564,613.2601,795.78754,820.7692,886.4469,22.000036,100,-0.145874023,0.194458008,0.969482422,3.536529541,-4.957122803,-1.600036621,1,1,1,1,1,35,sad
33:21.4,0.45711765,0.6122115,0.83491075,0.52459526,0.12974313,-0.6687292,0.17418633,0.253152,0.53502136,-0.18277131,0.52273494,0.80777854,0.33704653,0.75836635,0.15546289,0.4576373,0.14841513,0.9297028,-0.045244314,0.003787405,754.68866,806.26373,796.5934,786.1172,562.8938,22.000036,96,-0.13873291,0.193603516,0.971130371,3.723449707,-4.149627686,-1.652374268,1,1,1,1,1,35,sad
33:22.5,0.24488863,0.1930134,0.648595,0.5495623,0.26300266,0.093528815,0.12817827,0.2940864,0.7985337,0.083220124,0.50007915,0.7361973,0.36591843,0.139205,0.14220776,0.51896816,-0.028903568,-0.2008412,-0.001095595,0.23566656,801.4286,801.02563,794.17584,795.38464,753.0769,38.000042,76.00002,-0.139709473,0.197143555,0.973205566,3.813171387,-4.396362305,-1.682281494,1,1,1,1,1,35,sad
33:23.5,-0.3233052,0.017648838,0.31300494,-0.25072473,0.14984703,-0.006238698,-0.03099398,0.29418668,0.6032343,0.1842137,0.26942068,0.79170394,0.37676993,0.17813988,0.12604865,0.46177778,0.059150025,-0.15844467,-0.046118293,0.19712104,786.52014,798.60803,804.2491,817.9487,785.31134,58.00004,74.00002,-0.146728516,0.196533203,0.96875,3.596343994,-3.775787354,-1.495361328,1,1,1,1,1,35,sad
