TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-09-11 00:41:57.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:41:57.956,0.5585904,0.0,0.0,0.28688735,0.4892843,0.0,0.0,0.46214595,0.32165557,0.0,0.0,0.48342285,0.31382427,0.0,0.0,0.61047935,0.21107846,0.0,0.0,0.2439195,716.8132,629.7802,0.0,809.4872,527.8388,0.203369140625,-0.03631591796875,0.94976806640625,6.35528564453125,-2.70660400390625,0.710296630859375,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:58.495,0.5801299,0.0,0.0,0.23306574,0.48804885,0.0,0.0,0.3493032,0.30343723,0.0,0.0,0.40411842,0.32563636,0.0,0.0,0.6320646,0.1560125,0.0,0.0,0.20425546,828.8278,639.45056,949.304,834.4689,728.9011,0.21917724609375,-0.0927734375,0.943603515625,1.712188720703125,-17.09197998046875,-5.630035400390625,1,1.0,1.0,4.0,1.0,65.00
2021-09-11 00:41:58.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 00:41:58.850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 00:41:59.010,0.5801299,0.0,0.0,0.23306574,0.48804885,0.0,0.0,0.3493032,0.30343723,0.0,0.0,0.40411842,0.32563636,0.0,0.0,0.6320646,0.1560125,0.0,0.0,0.20425546,756.30035,321.9414,396.48352,759.5238,717.2161,0.1826171875,-0.0889892578125,0.9921875,9.07684326171875,-11.97784423828125,-8.770294189453125,1,1.0,4.0,4.0,1.0,65.00
2021-09-11 00:41:59.527,0.5801299,0.0,0.0,0.23306574,0.48804885,0.0,0.0,0.3493032,0.30343723,0.0,0.0,0.40411842,0.32563636,0.0,0.0,0.6320646,0.1560125,0.0,0.0,0.20425546,830.0366,888.86444,1208.3883,809.0842,975.09155,0.24365234375,-0.08984375,0.96514892578125,2.51220703125,1.323394775390625,-0.46356201171875,1,1.0,4.0,4.0,1.0,65.00
2021-09-11 00:41:59.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-09-11 00:42:00.044,0.5801299,0.0,0.0,0.23306574,0.48804885,0.0,0.0,0.3493032,0.30343723,0.0,0.0,0.40411842,0.32563636,0.0,0.0,0.6320646,0.1560125,0.0,0.0,0.20425546,759.5238,584.2491,553.22345,757.9121,455.31134,0.23681640625,-0.06170654296875,0.97137451171875,-4.47113037109375,-6.317901611328125,-23.499603271484375,1,2.0,4.0,4.0,2.0,65.00
2021-09-11 00:42:00.548,0.5801299,0.0,0.0,0.96335906,0.48804885,0.0,0.0,0.38166097,0.30343723,0.0,0.0,0.5332519,0.32563636,0.0,0.0,0.5303945,0.1560125,0.0,0.0,0.14850438,738.5714,518.97437,5.2380953,761.9414,569.34064,0.27081298828125,-0.09173583984375,0.9656982421875,7.753448486328125,-6.998291015625,-1.772003173828125,1,2.0,4.0,4.0,2.0,65.00
2021-09-11 00:42:01.077,1.4159725,0.0,0.0,0.9617275,1.2223471,0.0,0.0,0.25319558,1.2831507,0.0,0.0,0.6305467,1.2779434,0.0,0.0,0.55706143,0.6724299,0.0,0.0,0.16893417,853.8095,0.0,1580.6959,834.4689,987.98535,0.2633056640625,-0.07977294921875,0.98101806640625,6.38519287109375,-3.69354248046875,-0.35888671875,1,1.0,4.0,4.0,1.0,65.00
2021-09-11 00:42:01.584,0.8737223,0.0,0.0,0.9200237,0.60199916,0.0,0.0,0.124884,1.2265062,0.0,0.0,0.6421864,0.99354035,0.0,0.0,0.63128793,0.5173323,0.0,0.0,0.17618105,804.65204,1620.989,834.0659,801.8315,927.9487,0.2593994140625,-0.0804443359375,0.97430419921875,5.615081787109375,-4.029998779296875,-1.293487548828125,1,1.0,4.0,4.0,1.0,65.00
2021-09-11 00:42:01.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-09-11 00:42:02.118,0.9145313,0.0,0.0,0.9344216,0.6554675,0.0,0.0,0.49817652,1.2265062,0.0,0.0,0.6535788,0.9057485,0.0,0.0,0.59736186,0.44357866,0.0,0.0,0.19241685,786.9231,950.9158,452.49084,776.8498,597.9487,0.265380859375,-0.08245849609375,0.97589111328125,6.57958984375,-4.687957763671875,-1.114044189453125,1,1.0,4.0,4.0,1.0,65.00
